percentile,cutoff_mgdl_mean,auroc_mean,brier_mean,f1,recall,precision,accuracy
60.0,261.75199999999995,0.9210777437486428,0.10657733443807456,0.7937956204379562,0.7237936772046589,0.8787878787878788,0.8493333333333334
70.0,300.9422,0.9236775349406929,0.09411522564773978,0.7751196172248804,0.7184035476718403,0.8415584415584415,0.8746666666666667
75.0,328.9555,0.9155293946672236,0.08858386914085403,0.7354260089686099,0.6542553191489362,0.8395904436860068,0.882
80.0,365.2232,0.9194956811926934,0.07726851607430614,0.7232472324723247,0.6533333333333333,0.8099173553719008,0.9
90.0,458.1436000000003,0.9283859479257808,0.04984368137571728,0.6299212598425197,0.5298013245033113,0.7766990291262136,0.9373333333333334
