auroc,brier
0.9012359139487947,0.0923767996990923
0.9203465510227871,0.08542069922282917
0.9117062812521406,0.08829141773306337
0.9337625690155489,0.0786256789926515
0.9121808663945359,0.09411370803631565
0.9054393796992481,0.09267537382122096
0.9068145076668689,0.0958726738731016
0.9156345000291188,0.0878701000441764
0.9319090319792567,0.07815517060865797
0.91024099378882,0.09192527492023252
0.9196159528080198,0.08123082840772321
0.9128894409937889,0.08799232838282801
0.9203590527119938,0.08699184999345748
0.913078007518797,0.09308589641630322
0.9240047485704446,0.08783175826193303
0.9102657457521505,0.08649671982732603
0.9165082846003899,0.08532542440567967
0.9092625935463104,0.08654097001842409
0.9200204983665364,0.08003552537545028
0.9277657519607041,0.08261739189629184
0.9203894839337877,0.08681082798317283
0.9266027189988335,0.07991323635711396
0.9230936929163492,0.08878211997536684
0.934752249675894,0.07725588380810855
0.9212807148175726,0.08765317565246333
0.9214396365965872,0.08761987089202149
0.9123278842636002,0.08836971165876659
0.9285031185031185,0.0842338832463054
0.9022791353383459,0.09288710406288414
0.9205945036729253,0.08336881672915684
0.8997020509977827,0.09194081578124191
0.910717899788938,0.08457873498774905
0.9140194040194041,0.09167917654054435
0.9183671059189222,0.08882319225640381
0.9192994245475884,0.08424702849456016
0.9194968522392448,0.08409564868946323
0.929876917543632,0.08591445594374356
0.9117891231102351,0.0881141973877402
0.9085816144639673,0.09156092398399733
0.9116065185185185,0.09048098379335345
0.9205233394083112,0.08677533434406628
0.929269717624148,0.08583273102311258
0.9096215210391272,0.0909470446039135
0.8993738049280012,0.10153607635813663
0.9281846335274448,0.08004387618921055
0.9390323238404101,0.07609869358749162
0.9135711253251521,0.08999633363302674
0.9123080926359615,0.08631047489554387
0.9104134904134904,0.09326675377628758
0.9248637287566283,0.08500781385052777
0.9052827228290388,0.09590495537996767
0.9215760904040817,0.08884732126786328
0.9327461791257523,0.07888548492917934
0.9211040838619069,0.0872011076642735
0.9190738816766839,0.0860568667414372
0.9196263869215507,0.08043519540869973
0.8908275580921321,0.10329314603546558
0.9255070212187748,0.08567318622884967
0.9160272592592593,0.08686738794296249
0.9092313314990655,0.09244057265582495
0.9186472288848962,0.09448806204204732
0.9175648836223249,0.08517953776110708
0.9124813398617699,0.09148959166680103
0.9126162076509882,0.08899557054897166
0.9007909417516569,0.0981013544108125
0.906442330842358,0.08927414578045441
0.922852729241338,0.0876678697088495
0.9268725217206412,0.0855725713740255
0.9193961059914273,0.08431900356650714
0.9128336166081285,0.09135598546937329
0.9037075537075537,0.09420693850023808
0.9128553957253509,0.08986363737064651
0.9258861516383641,0.08290034254790198
0.9109960482509502,0.08869064867765433
0.9224952607305549,0.0840294381247967
0.9231505847953216,0.08163539217690388
0.9141917293233082,0.08925063301769186
0.9047409456740443,0.09252251982517146
0.9065716586784004,0.09133223845758133
0.9134932402563914,0.0932444439771097
0.9393716793716794,0.07791229241156011
0.918185763888889,0.08908676489214476
0.8918559837728195,0.09369278298377794
0.9240761107876332,0.08432583817839609
0.9243428043428044,0.08616746849751174
0.9163647335706957,0.08631822462658026
0.917730054984957,0.08749095354178822
0.9266327221490266,0.08542124542813707
0.9147851851851853,0.09180100388462466
0.9206867932358128,0.08332875719822581
0.9086017909731815,0.09465850779181299
0.9169447940033921,0.08583756480337339
0.900630041075644,0.09696693260499059
0.9298220391576153,0.08071203464797687
0.9208475244525328,0.08793416625890609
0.910253379737668,0.08537490519605846
0.9015593334439742,0.09615511099834226
0.9084704072394083,0.0971114573597252
0.9226305420402862,0.08510149890025985
0.9094945185185186,0.0904810103993331
0.9197304300913601,0.08865365965718983
0.9326167827989321,0.07661006766278465
0.9187829403362113,0.08726033346481303
0.9149796021289434,0.09479990333927685
0.9143466666666666,0.09216869297966745
0.9136673064343376,0.08959168097351863
0.9099008381317383,0.09154315460219961
0.9212203903155403,0.07793621335064499
0.9139744345391586,0.09402862487618219
0.9070713859020311,0.0977953022372424
0.931344609618503,0.07520437710528173
0.9225963345864662,0.08755233020306075
0.9014238721804512,0.09146725431780708
0.9216331643708404,0.08680081223843784
0.9199595532648519,0.0834285499381377
0.9125221355871087,0.0909924400121322
0.9057026851144498,0.09080223983281685
0.9184648342928307,0.09099611515414548
0.920978228836661,0.08808216518819349
0.9090360340908828,0.09457211933985786
0.9146743689468466,0.08862727242936493
0.9187022961581974,0.09035037805302955
0.9285200986489486,0.08005511834659432
0.9149252534509422,0.09004535415748895
0.9159609022025899,0.08675014460964224
0.9166811229652759,0.08658185940404026
0.8972851720031547,0.10084751255886515
0.9075329936447711,0.09003260217872351
0.9225312839378137,0.08026483954328403
0.9147102475882075,0.08700756572493817
0.9097634089736977,0.09090707011263785
0.9191188909774437,0.08851742696116723
0.9061830909420071,0.09240004067903441
0.9112874523504013,0.08920976380667857
0.9053526534246329,0.08361023845166983
0.9060402844505453,0.09237223967953313
0.9200693000693001,0.08769794301429973
0.9129947668199034,0.08543955736699699
0.9128542990297766,0.0921699237927154
0.908647361497344,0.09148502951765189
0.9191399859780323,0.09103278206981961
0.9165391054771586,0.08144972671894347
0.9198344148579101,0.09567931688159285
0.9263392857142858,0.08621605489868958
0.9265573481787319,0.08032607373714169
0.9064588185198313,0.09465029121858834
0.9141692773259097,0.08664061198426058
0.907477704655883,0.08946412543904751
0.9020779074355939,0.09524351390874708
0.9103756172646037,0.09402516589571493
0.9229996534574643,0.087669916149718
0.906714399474382,0.09403983426063817
0.8977962617715952,0.09732428761416921
0.9220279014048212,0.08359860627354745
0.9198436435223745,0.08651341703777098
0.9107560928570209,0.09093805825412107
0.9101476723759332,0.09091545208520173
0.9230044293657524,0.08729721434177835
0.922794373846524,0.08912551330791398
0.9221617777777777,0.0858362568207228
0.9107495195387573,0.09289451330722341
0.9154370300751882,0.09169320827110945
0.9223447851078227,0.08963957092601381
0.8858729298870144,0.09831529112162354
0.9260790946552678,0.08094781556867527
0.9126938891351717,0.08786595288723174
0.9201580846554785,0.08882663724511644
0.9216205446305116,0.08383248866162306
0.9171715465861674,0.08906705304427968
0.9072230824055642,0.0973280610090959
0.918477209410308,0.08588715049453466
0.8917503167922931,0.09886506034889343
0.9046951255023004,0.09003898524053836
0.927925,0.08605293473351655
0.913057330262489,0.08850520885645419
0.9111971770784851,0.09026559079998414
0.9122801487738763,0.09473366428603981
0.896645643563416,0.09264623650277637
0.9019347097462981,0.09112151516633608
0.8984383930113162,0.09069697136006115
0.9247282128068888,0.08258223579274854
0.9129489032309154,0.08768175246560846
0.8999752154350645,0.0956090897785527
0.9082661290322581,0.09248860145248375
0.9203635493900981,0.0882180934357707
0.9198113669050672,0.08479348000149295
0.9346944352371724,0.07519471055819674
0.9282395788482078,0.08247921670334145
0.9252778018716088,0.08226402230118808
0.9041399408511293,0.0906529552504364
0.9175154628164173,0.08371763091476324
0.9113970188884195,0.08787812631637973
0.9120393244034548,0.09217639222259144
0.9051994207617172,0.09489997496469611
0.9238081964522953,0.09036274268400708
0.912637828668363,0.09426725431168069
0.9113488745059855,0.08958155682100741
0.9115922962962962,0.09061176592781775
0.9000920156077108,0.09335362042357134
0.8998913542320336,0.09587593700083262
0.8839629069593786,0.10376580955180592
0.8915976749989702,0.09475329925737296
0.9262154210643856,0.08079812030857828
0.9178871304751586,0.08686677390748954
0.92933252194114,0.0804103199890163
0.9064741026396027,0.09635352702348435
0.9153648759789672,0.0828096189505427
0.9308025911286781,0.08574310505190656
0.9266711311335687,0.08493357512538457
0.893031506159706,0.10213838760232317
0.9229425772783509,0.08589832358264603
0.9148123732251521,0.08301096532815914
0.9162995594713657,0.08737700093491113
0.9183513588951514,0.09229128306357726
0.9152022727272726,0.08989356274463742
0.9186769950770903,0.08273982702579678
0.9132275132275133,0.09463450174847067
0.9143547033619985,0.092375313621585
0.9213206762749446,0.07999844579731342
0.9229727272727273,0.08754603571944837
0.9098123563005266,0.09437565729546481
0.9041178442940125,0.09892056828696005
0.911370998196271,0.09150824819092801
0.9277310627918287,0.079394158053579
0.920583850931677,0.08256606534739262
0.9049506578947368,0.09324989108721127
0.9130584444791217,0.09093940508451263
0.9250603654417489,0.08511259521742322
0.9303449359629135,0.07606944310378513
0.9002772727272728,0.1017007024907291
0.9111636716236666,0.09519845154859964
0.9107518490478131,0.09222313229916396
0.9260870605118392,0.0818107893739472
0.9136768339290013,0.0913207371969719
0.914996412341545,0.08884296607751477
0.9136260269201615,0.09515609396195698
0.9260511260845252,0.07972464045434449
0.9194595555555556,0.09060376948465437
0.9207894349075371,0.08898176342281416
0.8904513489857939,0.10101450950407298
0.9178195795236154,0.08768707789690931
