Variable,Normal_mean,Normal_sd,High_mean,High_sd,p_value
Age,52.500568888888886,10.107506505284542,52.812266666666666,10.093979723908042,0.6048510852447608
Hct,42.45500444444445,3.678988300533267,42.34442666666666,3.7145007263891885,0.6169407143242236
TP,6.985004444444444,0.5082916795255371,7.025226666666667,0.4609051653860053,0.15445514565267293
WBV,5.930151288888889,0.4507126593019214,5.923719733333334,0.4582632807413927,0.8132489997254421
TG0h,115.43152,48.169036762019466,260.51504000000006,111.86779443857768,1.7549873056935602e-82
TG4h,196.4349688888889,67.0376669131886,479.16957333333335,156.96772907152268,3.435108856533855e-122
TGR,81.62427913633165,59.81344688854894,103.41640342030205,76.11376685930144,6.095169263629549e-07
HDL,51.971644444444436,6.267048311237874,50.330400000000004,6.331035819315394,1.5268515706589954e-05
LDL,123.20008888888887,25.55653195593775,124.13013333333332,28.453737172348443,0.5743930595037021
BMI,23.755555555555556,2.9612199590219177,24.826933333333333,2.7599203532903336,3.0616852791127187e-10
