desc,n_train,n_test,cutoff_tg4h,auroc,brier
"Train Age<55, Test Age≥55",884,616,320.9775,0.909555526246373,0.09616928275071729
"Train Age≥55, Test Age<55",616,884,336.7025,0.9201496762579483,0.07897729393687972
"Train Male, Test Female",715,785,325.885,0.9124890664928738,0.08898674370416651
"Train Female, Test Male",785,715,331.98,0.9105983402132782,0.08721280556032232
