fold,model,cutoff_tg4h,auroc,brier,ap,best_params
4,logreg_l2,329.2875,0.8983703703703705,0.08823455648440091,0.844899543116289,"{""model__C"": 10.0}"
4,svm_rbf,329.2875,0.8861629629629629,0.09748273894934549,0.8110817498427005,"{""model__C"": 0.5, ""model__gamma"": ""auto""}"
4,rf,329.2875,0.8872296296296296,0.09699974167577981,0.8112199927409507,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}"
